,Process_Name,Type,Definition,DataProperty,Concept,Synonymes,Relation,Object
129,PLAN COST MANAGEMENT,Has_Technics_Tools,a data analysis technique that can be used for this process includes but is not limited to alternatives analysis. alternatives analysis can include reviewing strategic funding options such as selffunding funding with equity or funding with debt. it can also include consideration of ways to acquire project resources such as making purchasing renting or leasing. ,, data analysis ,",schedule data,data analysis technique,document analysis,decision analysis,data analysis techniques,trend analysis,data analysis technique,alternatives analysis,data analysis techniques,analysis technique,analysis,data analysis techniques,scenario analysis,analysis,network analysis,data analysis techniques,trend analysis,variance analysis,variance analysis,network analysis,data analysis technique,alternatives analysis,data analysis techniques,alternatives analysis,analysis tools,data analysis technique,analysis,value analysis,variance analysis,value analysis,variance analysis,trend analysis,value analysis,data,value analysis,evm data,risk analysis,business analysis,data conversion,data,data,schedule data,schedule data,analysis,analysis",",be,be,consists,is,be,examines,be,include,be,pass,is,be,is,happens,develop,be,examines,looks,is,bring,be,include,be,is,assist,be,establish,compares,is,be,nuschedule,examines,be,is,works,follows,reveal,guide,transition,dates,is,includes,include,changes,changes",",control schedule process,process,information,technique,variance analysis,project performance,process,methodology,alternatives analysis,schedule network,technique,process,process,schedule network analysis,successor activities,value analysis,project performance,start,cause,project activities,process,funding options,alternatives analysis,technique,cost estimating,determine budget process,management reserves,cost performance,completion vac,cost,nuschedule variance,project performance,periodbyperiod basis,budget,eac costs,forecast,need,organizations,asis state,scheduling tool,controlling schedule,schedule activities,items,resource requirements,resource requirements"
130,PLAN COST MANAGEMENT,Has_Technics_Tools,project teams may hold planning meetings to develop the cost management plan. attendees may include the project manager the project sponsor selected project team members selected stakeholders anyone with responsibility for project costs and others as needed. ,, meetings ,",project meetings,planning meetings,meetings,meetings,meetings,planning meetings",",develop,develop,be,be,estimate,develop",",scope management plan,schedule management plan,facetoface,team members,activity durations,cost management plan"
131,ESTIMATE COSTS,Has_Technics_Tools, expertise should be considered from individuals or groups with specialized knowledge or training in the following topics previous similar projects information in the industry discipline and application area and cost estimating methods. ,Section 4.1.2., expert judgment ,,,
132,ESTIMATE COSTS,Has_Technics_Tools, analogous cost estimating uses values or attributes of a previous project that are similar to the current project. values and attributes of the projects may include but are not limited to scope cost budget duration and measures of scale e.g. size weight. comparison of these project values or attributes becomes the basis for estimating the same parameter or measurement for the current project. ,Section 6.4.2.2., analogous estimating ,",duration estimating,estimating,estimating,estimating,estimating,estimating,estimating,cost estimating,estimating",",be,is,uses,is,is,is,uses,uses,uses",",phases,technique,size weight,techniques,activities,estimating technique,relationship,values,relationship"
133,ESTIMATE COSTS,Has_Technics_Tools, parametric estimating uses a statistical relationship between relevant historical data and other variables e.g. square footage in construction to calculate a cost estimate for project work. this technique can produce higher levels of accuracy depending on the sophistication and underlying data built into the model. parametric cost estimates can be applied to a total project or to segments of a project in conjunction with other estimating methods. ,Section 6.4.2.3., parametric estimating ,",duration estimating,estimating,estimating,estimating,estimating,estimating,estimating,cost estimating,estimating",",be,is,uses,is,is,is,uses,uses,uses",",phases,technique,size weight,techniques,activities,estimating technique,relationship,values,relationship"
134,ESTIMATE COSTS,Has_Technics_Tools, the cost of individual work packages or activities is estimated to the greatest level of specified detail. the detailed cost is then summarized or rolled up to higher levels for subsequent reporting and tracking purposes. the cost and accuracy of bottomup cost estimating are typically influenced by the size or other attributes of the individual activity or work package. ,Section 6.4.2.5. Bottom-up estimating is a method of estimating a component of work., bottomup estimating ,",duration estimating,bottomup approach,estimating,estimating,estimating,estimating,estimating,estimating,cost estimating,estimating",",be,be,is,uses,is,is,is,uses,uses,uses",",phases,group subcomponents,technique,size weight,techniques,activities,estimating technique,relationship,values,relationship"
135,ESTIMATE COSTS,Has_Technics_Tools, the accuracy of singlepoint cost estimates may be improved by considering estimation uncertainty and risk and using three estimates to deﬁne an approximate range for an activitys cost most likely cm. the cost of the activity based on realistic effort assessment for the required work and any predicted expenses. optimistic co. the cost based on analysis of the bestcase scenario for the activity. pessimistic cp. the cost based on analysis of the worstcase scenario for the activity. part guide depending on the assumed distribution of values within the range of the three estimates the expected cost ce can be calculated using a formula. two commonly used formulas are triangular and beta distributions. the formulas are triangular distribution. ce co cm cp beta distribution. ce co cm cp cost estimates based on three points with an assumed distribution provide an expected cost and clarify the range of uncertainty around the expected cost. ,Section 6.4.2.4., threepoint estimating ,",duration estimating,estimating,estimating,estimating,estimating,estimating,estimating,cost estimating,estimating",",be,is,uses,is,is,is,uses,uses,uses",",phases,technique,size weight,techniques,activities,estimating technique,relationship,values,relationship"
136,ESTIMATE COSTS,Has_Technics_Tools,data analysis techniques that can be used in the estimate costs process include but are not limited to alternatives analysis. alternatives analysis is a technique used to evaluate identiﬁed options in order to select which options or approaches to use to execute and perform the work of the project. an example would be evaluating the cost schedule resource and quality impacts of buying versus making a deliverable. reserve analysis. cost estimates may include contingency reserves sometimes called contingency allowances to account for cost uncertainty. contingency reserves are the budget within the cost baseline that is allocated for identiﬁed risks. contingency reserves are often viewed as the part of the budget intended to address the known unknowns that can affect a project. for example rework for some project deliverables could be anticipated while the amount of this rework is unknown. contingency reserves may be estimated to account for this unknown amount of rework. contingency reserves can be provided at any level from the speciﬁc activity to the entire project. the contingency reserve may be a percentage of the estimated cost a ﬁxed number or may be developed by using quantitative analysis methods. as more precise information about the project becomes available the contingency reserve may be used reduced or eliminated. contingency should be clearly identiﬁed in cost documentation. contingency reserves are part of the cost baseline and the overall funding requirements for the project. cost of quality. assumptions about costs of quality section ... may be used to prepare the estimates. this includes evaluating the cost impact of additional investment in conformance versus the cost of nonconformance. it can also include looking at shortterm cost reductions versus the implication of more frequent problems later on in the product life cycle. ,, data analysis ,",schedule data,data analysis technique,document analysis,decision analysis,data analysis techniques,trend analysis,data analysis technique,alternatives analysis,data analysis techniques,analysis technique,analysis,data analysis techniques,scenario analysis,analysis,network analysis,data analysis techniques,trend analysis,variance analysis,variance analysis,network analysis,data analysis technique,alternatives analysis,data analysis techniques,alternatives analysis,analysis tools,data analysis technique,analysis,value analysis,variance analysis,value analysis,variance analysis,trend analysis,value analysis,data,value analysis,evm data,risk analysis,business analysis,data conversion,data,data,schedule data,schedule data,analysis,analysis",",be,be,consists,is,be,examines,be,include,be,pass,is,be,is,happens,develop,be,examines,looks,is,bring,be,include,be,is,assist,be,establish,compares,is,be,nuschedule,examines,be,is,works,follows,reveal,guide,transition,dates,is,includes,include,changes,changes",",control schedule process,process,information,technique,variance analysis,project performance,process,methodology,alternatives analysis,schedule network,technique,process,process,schedule network analysis,successor activities,value analysis,project performance,start,cause,project activities,process,funding options,alternatives analysis,technique,cost estimating,determine budget process,management reserves,cost performance,completion vac,cost,nuschedule variance,project performance,periodbyperiod basis,budget,eac costs,forecast,need,organizations,asis state,scheduling tool,controlling schedule,schedule activities,items,resource requirements,resource requirements"
137,ESTIMATE COSTS,Has_Technics_Tools, the project management information system can include spreadsheets simulation software and statistical analysis tools to assist with cost estimating. such tools simplify the use of some costestimating techniques and thereby facilitate rapid consideration of cost estimate alternatives. ,Section 4.3.2.2., project management information system (pmis) ,",information system,information system",",provides,include",",possibilities,analysis tools"
138,ESTIMATE COSTS,Has_Technics_Tools,the decisionmaking techniques that can be used in the estimate costs process include but are not limited to voting. voting is an assessment process having multiple alternatives with an expected outcome in the form of future actions. these techniques are useful for engaging team members to improve estimate accuracy and commitment to the emerging estimates. ,Section 5.2.2., decision making ,",decision,decision,decision,decision matrix,decision analysis,decision matrix,decision making,acquisition decision",",is,be,is,provide,is,provide,be,is",",support,tie,block,approach,technique,approach,process,order"
139,DETERMINE BUDGET,Has_Technics_Tools, expertise should be considered from individuals or groups with specialized knowledge or training in the following topics previous similar projects information in the industry discipline and application area financial principles and funding requirement and sources. ,Section 4.1.2.1., expert judgment ,,,
140,DETERMINE BUDGET,Has_Technics_Tools,cost estimates are aggregated by work packages in accordance with the wbs. the work package cost estimates are then aggregated for the higher component levels of the wbs such as control accounts and ultimately for the entire project. ,, cost aggregation ,",cost estimates,cost estimates,cost estimates,cost baseline,resource cost,cost estimating,cost estimates,cost,cost estimates,cost estimates,cost baseline,cost baseline,cost,cost,cost,cost variance,cost difference,plan cost,project cost,cost budgeting,cost,cost,cost,cost management,example cost,cost,cost estimates,cost estimates,cost estimates,cost estimates,cost baseline,cost baseline,cost estimates,cost baseline,cost baseline,cost baseline,cost performance,cost variances",",be,specify,obtain,is,determine,uses,be,is,clarify,include,is,schedule,is,identify,is,be,estimate,be,includes,be,is,complete,increase,is,be,is,complete,be,include,be,is,is,schedule,is,is,include,indicate,cross",",phases,project budget,cost estimate,results,project work,values,segments,tracking purposes,range,contingency reserves,project budget,schedule baseline,time period,cost baseline,budget deﬁcit,completion bac,completion,reestimate bottom,processes,process,scope deﬁnition,project activities,products,project costs,acquisition decision,project accounting purposes,project work,summary form,documentation,constraints,project budget,schedule activities,schedule activities,form,performance measurement baseline,expenditures,need,cost threshold"
141,DETERMINE BUDGET,Has_Technics_Tools,a data analysis technique that can be used in the determine budget process includes but is not limited to reserve analysis which can establish the management reserves for the project. management reserves are an amount of the project budget withheld for management control purposes and are reserved for unforeseen work that is within scope of the project. management reserves are intended to address the unknown unknowns that can affect a project. the management reserve is not included in the cost baseline but is part of the overall project budget and funding requirements. when an amount of management reserves is used to fund unforeseen work the amount of management reserve used is added to the cost baseline thus requiring an approved change to the cost baseline. part guide ,, data analysis ,",schedule data,data analysis technique,document analysis,decision analysis,data analysis techniques,trend analysis,data analysis technique,alternatives analysis,data analysis techniques,analysis technique,analysis,data analysis techniques,scenario analysis,analysis,network analysis,data analysis techniques,trend analysis,variance analysis,variance analysis,network analysis,data analysis technique,alternatives analysis,data analysis techniques,alternatives analysis,analysis tools,data analysis technique,analysis,value analysis,variance analysis,value analysis,variance analysis,trend analysis,value analysis,data,value analysis,evm data,risk analysis,business analysis,data conversion,data,data,schedule data,schedule data,analysis,analysis",",be,be,consists,is,be,examines,be,include,be,pass,is,be,is,happens,develop,be,examines,looks,is,bring,be,include,be,is,assist,be,establish,compares,is,be,nuschedule,examines,be,is,works,follows,reveal,guide,transition,dates,is,includes,include,changes,changes",",control schedule process,process,information,technique,variance analysis,project performance,process,methodology,alternatives analysis,schedule network,technique,process,process,schedule network analysis,successor activities,value analysis,project performance,start,cause,project activities,process,funding options,alternatives analysis,technique,cost estimating,determine budget process,management reserves,cost performance,completion vac,cost,nuschedule variance,project performance,periodbyperiod basis,budget,eac costs,forecast,need,organizations,asis state,scheduling tool,controlling schedule,schedule activities,items,resource requirements,resource requirements"
142,DETERMINE BUDGET,Has_Technics_Tools,reviewing historical information can assist in developing parametric estimates or analogous estimates. historical information may include project characteristics parameters to develop mathematical models to predict total project costs. such models may be simple e.g. residential home construction is based on a certain cost per square foot of space or complex e.g. one model of software development costing uses multiple separate adjustment factors each of which has numerous points within it. both the cost and accuracy of analogous and parametric models can vary widely. they are most likely to be reliable when historical information used to develop the model is accurate parameters used in the model are readily quantiﬁable and models are scalable such that they work for large projects small projects and phases of a project. ,, historical information review ,",information,information,information,information,information,information,information,information,information,information,review,information,information",",is,contain,becomes,becomes,assist,include,develop,is,is,is,perform,have,is",",product acceptance,activities,contingency reserve,contingency reserve,estimates,project characteristics parameters,model,result,processes,section,process section,approaches,projects"
143,DETERMINE BUDGET,Has_Technics_Tools,the expenditure of funds should be reconciled with any funding limits on the commitment of funds for the project. a variance between the funding limits and the planned expenditures will sometimes necessitate the rescheduling of work to level out the rate of expenditures. this is accomplished by placing imposed date constraints for work into the project schedule. ,, funding limit reconciliation ,",funding",",occurs",",amounts"
144,DETERMINE BUDGET,Has_Technics_Tools,financing entails acquiring funding for projects. it is common for longterm infrastructure industrial and public services projects to seek external sources of funds. if a project is funded externally the funding entity may have certain requirements that are required to be met. ,, financing ,,,
145,CONTROL COSTS,Has_Technics_Tools, examples of expert judgment during the control costs process include but are not limited to variance analysis earned value analysis forecasting and financial analysis. part guide ,Section 4.1.2.1., expert judgment ,,,
146,CONTROL COSTS,Has_Technics_Tools,data analysis techniques that can be used to control costs include but are not limited to earned value analysis eva. earned value analysis compares the performance measurement baseline to the actual schedule and cost performance. evm integrates the scope baseline with the cost baseline and schedule baseline to form the performance measurement baseline. evm develops and monitors three key dimensions for each work package and control account nuplanned value. planned value pv is the authorized budget assigned to scheduled work. it is the authorized budget planned for the work to be accomplished for an activity or work breakdown structure wbs component not including management reserve. this budget is allocated by phase over the life of the project but at a given point in time planned value deﬁnes the physical work that should have been accomplished. the total of the pv is sometimes referred to as the performance measurement baseline pmb. the total planned value for the project is also known as budget at completion bac. nuearned value. earned value ev is a measure of work performed expressed in terms of the budget authorized for that work. it is the budget associated with the authorized work that has been completed. the ev being measured needs to be related to the pmb and the ev measured cannot be greater than the authorized pv budget for a component. the ev is often used to calculate the percent complete of a project. progress measurement criteria should be established for each wbs component to measure work in progress. project managers monitor ev both incrementally to determine current status and cumulatively to determine the long term performance trends. nuactual cost. actual cost ac is the realized cost incurred for the work performed on an activity during a speciﬁc time period. it is the total cost incurred in accomplishing the work that the ev measured. the ac needs to correspond in deﬁnition to what was budgeted in the pv and measured in the ev e.g. direct hours only direct costs only or all costs including indirect costs. the ac will have no upper limit whatever is spent to achieve the ev will be measured. variance analysis. variance analysis as used in evm is the explanation cause impact and corrective actions for cost cv ev ac schedule sv ev pv and variance at completion vac bac eac variances. cost and schedule variances are the most frequently analyzed measurements. for projects not using formal earned value analysis similar variance analyses can be performed by comparing planned cost against actual cost to identify variances between the cost baseline and actual project performance. further analysis can be performed to determine the cause and degree of variance relative to the schedule baseline and any corrective or preventive actions needed. cost performance measurements are used to assess the magnitude of variation to the original cost baseline. an important aspect of project cost control includes determining the cause and degree of variance relative to the cost baseline see section ... and deciding whether corrective or preventive action is required. the percentage range of acceptable variances will tend to decrease as more work is accomplished. examples of variance analysis include but are not limited to nuschedule variance. schedule variance sv is a measure of schedule performance expressed as the difference between the earned value and the planned value. it is the amount by which the project is ahead or behind the planned delivery date at a given point in time. it is a measure of schedule performance on a project. it is equal to the earned value ev minus the planned value pv. the eva schedule variance is a useful metric in that it can indicate when a project is falling behind or is ahead of its baseline schedule. the eva schedule variance will ultimately equal zero when the project is completed because all of the planned values will have been earned. schedule variance is best used in conjunction with critical path method cpm scheduling and risk management. equation sv ev pv. nucost variance. cost variance cv is the amount of budget deﬁcit or surplus at a given point in time expressed as the difference between earned value and the actual cost. it is a measure of cost performance on a project. it is equal to the earned value ev minus the actual cost ac. the cost variance at the end of the project will be the difference between the budget at completion bac and the actual amount spent. the cv is particularly critical because it indicates the relationship of physical performance to the costs spent. negative cv is often difﬁcult for the project to recover. equation cv ev ac. part guide nuschedule performance index. the schedule performance index spi is a measure of schedule efﬁciency expressed as the ratio of earned value to planned value. it measures how efﬁciently the project team is accomplishing the work. it is sometimes used in conjunction with the cost performance index cpi to forecast the ﬁnal project completion estimates. an spi value less than . indicates less work was completed than was planned. an spi greater than . indicates that more work was completed than was planned. since the spi measures all project work the performance on the critical path also needs to be analyzed to determine whether the project will ﬁnish ahead of or behind its planned ﬁnish date. the spi is equal to the ratio of the ev to the pv. equation spi evpv. nucost performance index. the cost performance index cpi is a measure of the cost efﬁciency of budgeted resources expressed as a ratio of earned value to actual cost. it is considered the most critical eva metric and measures the cost efﬁciency for the work completed. a cpi value of less than . indicates a cost overrun for work completed. a cpi value greater than . indicates a cost underrun of performance to date. the cpi is equal to the ratio of the ev to the ac. equation cpi evac. trend analysis. trend analysis examines project performance over time to determine if performance is improving or deteriorating. graphical analysis techniques are valuable for understanding performance to date and for comparison to future performance goals in the form of bac versus estimate at completion eac and completion dates. examples of the trend analysis techniques include but are not limited to nucharts. in earned value analysis three parameters of planned value earned value and actual cost can be monitored and reported on both a periodbyperiod basis typically weekly or monthly and on a cumulative basis. figure uses scurves to display ev data for a project that is performing over budget and behind the schedule. project budget eac management reserve bac etc planned ost value pv c e v ati mul actual u cost ac c earned value ev data date time figure . earned value planned value and actual costs nuforecasting. as the project progresses the project team may develop a forecast for the estimate at completion eac that may differ from the budget at completion bac based on the project performance. if it becomes obvious that the bac is no longer viable the project manager should consider the forecasted eac. forecasting the eac involves making projections of conditions and events in the projects future based on current performance information and other knowledge available at the time of the forecast. forecasts are generated updated and reissued based on work performance data section ... that is provided as the project is executed. the work performance information covers the projects past performance and any information that could impact the project in the future. eacs are typically based on the actual costs incurred for work completed plus an estimate to complete etc the remaining work. it is incumbent on the project team to predict what it may encounter to perform the etc based on its experience to date. earned value analysis works well in conjunction with manual forecasts of the required eac costs. the most common eac forecasting approach is a manual bottomup summation by the project manager and project team. the project managers bottomup eac method builds upon the actual costs and experience incurred for the work completed and requires a new estimate to complete the remaining project work. equation eac ac bottomup etc. part guide the project managers manual eac is quickly compared with a range of calculated eacs representing various risk scenarios. when calculating eac values the cumulative cpi and spi values are typically used. while evm data quickly provide many statistical eacs only three of the more common methods are described as follows mueac forecast for etc work performed at the budgeted rate. this eac method accepts the actual project performance to date whether favorable or unfavorable as represented by the actual costs and predicts that all future etc work will be accomplished at the budgeted rate. when actual performance is unfavorable the assumption that future performance will improve should be accepted only when supported by project risk analysis. equation eac ac bac ev. mueac forecast for etc work performed at the present cpi. this method assumes that what the project has experienced to date can be expected to continue in the future. the etc work is assumed to be performed at the same cumulative cost performance index cpi as that incurred by the project to date. equation eac bac cpi. mueac forecast for etc work considering both spi and cpi factors. in this forecast the etc work will be performed at an efﬁciency rate that considers both the cost and schedule performance indices. this method is most useful when the project schedule is a factor impacting the etc effort. variations of this method weight the cpi and spi at different values e.g. or some other ratio according to the project managers judgment. equation eac ac bac ev cpi spi. reserve analysis. during cost control reserve analysis is used to monitor the status of contingency and management reserves for the project to determine if these reserves are still needed or if additional reserves need to be requested. as work on the project progresses these reserves may be used as planned to cover the cost of risk responses or other contingencies. conversely when opportunities are captured and resulting in cost savings funds may be added to the contingency amount or taken from the project as marginproﬁt. if the identiﬁed risks do not occur the unused contingency reserves may be removed from the project budget to free up resources for other projects or operations. additional risk analysis during the project may reveal a need to request that additional reserves be added to the project budget. ,Section 4.5.2.2. Section 4.5.2.2. Section 7.2.2.6., data analysis ,",schedule data,data analysis technique,document analysis,decision analysis,data analysis techniques,trend analysis,data analysis technique,alternatives analysis,data analysis techniques,analysis technique,analysis,data analysis techniques,scenario analysis,analysis,network analysis,data analysis techniques,trend analysis,variance analysis,variance analysis,network analysis,data analysis technique,alternatives analysis,data analysis techniques,alternatives analysis,analysis tools,data analysis technique,analysis,value analysis,variance analysis,value analysis,variance analysis,trend analysis,value analysis,data,value analysis,evm data,risk analysis,business analysis,data conversion,data,data,schedule data,schedule data,analysis,analysis",",be,be,consists,is,be,examines,be,include,be,pass,is,be,is,happens,develop,be,examines,looks,is,bring,be,include,be,is,assist,be,establish,compares,is,be,nuschedule,examines,be,is,works,follows,reveal,guide,transition,dates,is,includes,include,changes,changes",",control schedule process,process,information,technique,variance analysis,project performance,process,methodology,alternatives analysis,schedule network,technique,process,process,schedule network analysis,successor activities,value analysis,project performance,start,cause,project activities,process,funding options,alternatives analysis,technique,cost estimating,determine budget process,management reserves,cost performance,completion vac,cost,nuschedule variance,project performance,periodbyperiod basis,budget,eac costs,forecast,need,organizations,asis state,scheduling tool,controlling schedule,schedule activities,items,resource requirements,resource requirements"
147,CONTROL COSTS,Has_Technics_Tools,the tocomplete performance index tcpi is a measure of the cost performance that is required to be achieved with the remaining resources in order to meet a speciﬁed management goal expressed as the ratio of the cost to ﬁnish the outstanding work to the remaining budget. tcpi is the calculated cost performance index that is achieved on the remaining work to meet a speciﬁed management goal such as the bac or the eac. if it becomes obvious that the bac is no longer viable the project manager should consider the forecasted eac. once approved the eac may replace the bac in the tcpi calculation. the equation for the tcpi based on the bac bac ev bac ac. the tcpi is conceptually displayed in figure . the equation for the tcpi is shown in the lower left as the work remaining deﬁned as the bac minus the ev divided by the funds remaining which can be either the bac minus the ac or the eac minus the ac. if the cumulative cpi falls below the baseline as shown in figure all future work of the project will need to be performed immediately in the range of the tcpi bac as reﬂected in the top line of figure to stay within the authorized bac. whether this level of performance is achievable is a judgment call based on a number of considerations including risk time remaining in the project and technical performance. this level of performance is displayed as the tcpi eac line. the equation for the tcpi is based on the eac bac ev eac ac. the evm formulas are provided in table . part guide table . earned value calculations summary table earned value analysis abbreviation name lexicon definition how used equation interpretation of result pv planned the authorized budget assigned to the value of the work planned to be value scheduled work. completed to a point in time usually the data date or project completion. ev earned value the measure of work performed the planned value of all the work ev sum of the planned expressed in terms of the budget completed earned to a point in value of completed work authorized for that work. time usually the data date without reference to actual costs. ac actual cost the realized cost incurred for the the actual cost of all the work work performed on an activity during completed to a point in time usually a specific time period. the data date. bac budget at the sum of all budgets established the value of total planned work the completion for the work to be performed. project cost baseline. cv cost variance the amount of budget deficit or the difference between the value of cv ev ac positive under planned cost surplus at a given point in time work completed to a point in time neutral on planned cost expressed as the difference between usually the data date and the actual negative over planned cost the earned value and the actual cost. costs to the same point in time. sv schedule the amount by which the project is the difference between the work sv ev pv positive ahead of schedule variance ahead or behind the planned completed to a point in time usually neutral on schedule delivery date at a given point in the data date and the work planned negative behind schedule time expressed as the difference to be completed to the same point between the earned value and the in time. planned value. vac variance at a projection of the amount of budget the estimated difference in cost at vac bac eac positive under planned cost completion deficit or surplus expressed as the the completion of the project. neutral on planned cost difference between the budget at negative over planned cost completion and the estimate at completion. cpi cost a measure of the cost efficiency of a cpi of . means the project is cpi evac greater than . under planned performance budgeted resources exactly on budget that the work cost index expressed as the ratio of earned actually done so far is exactly the exactly . on planned cost value to actual cost. same as the cost so far. other values less than . over planned cost show the percentage of how much costs are over or under the budgeted amount for work accomplished. spi schedule a measure of schedule efficiency an spi of . means that the project spi evpv greater than . ahead of performance expressed as the ratio of earned is exactly on schedule that the work schedule index value to planned value. actually done so far is exactly the exactly . on schedule same as the work planned to be less than . behind schedule done so far. other values show the percentage of how much costs are over or under the budgeted amount for work planned. eac estimate at the expected total cost of com if the cpi is expected to be the same eac baccpi completion pleting all work expressed as the for the remainder of the project eac sum of the actual cost to date and can be calculated using the estimate to complete. if future work will be accomplished eac ac bac ev at the planned rate use if the initial plan is no longer valid eac ac bottomup etc use if both the cpi and spi influence the eac ac bac ev remaining work use cpi x spi etc estimate to the expected cost to finish all the assuming work is proceeding on etc eac ac complete remaining project work. plan the cost of completing the remaining authorized work can be calculated using reestimate the remaining work from etc reestimate the bottom up. tcpi to complete a measure of the cost performance the efficiency that must be tcpi bac evbac ac greater than . harder to performance that must be achieved with the maintained in order to complete on complete index remaining resources in order to meet plan. exactly . same to complete a specified management goal less than . easier to complete expressed as the ratio of the cost to finish the outstanding work to the budget available. the efficiency that must be tcpi bac eveac ac greater than . harder to maintained in order to complete the complete current eac. exactly . same to complete less than . easier to complete status date tcpi bac baseline plan . tcpi eac cumulative cpi formula work remaining bacev tcpi funds remaining bacac or eacac figure . tocomplete performance index tcpi ,, tocomplete performance index ,",performance,performance index tcpi,cost performance index,performance,index",",is,is,is,is,meet",",assumption,cost performance,work,index value,plan"
148,CONTROL COSTS,Has_Technics_Tools, project management information systems are often used to monitor the three evm dimensions pv ev and ac to display graphical trends and to forecast a range of possible ﬁnal project results. ,Section 4.3.2.2., project management information system (pmis) ,",information system,information system",",provides,include",",possibilities,analysis tools"
149,PLAN SCOPE MANAGEMENT,Has_outputs,the scope management plan is a component of the project management plan that describes how the scope will be deﬁned developed monitored controlled and validated. the components of a scope management plan include process for preparing a project scope statement process that enables the creation of the wbs from the detailed project scope statement process that establishes how the scope baseline will be approved and maintained and process that speciﬁes how formal acceptance of the completed project deliverables will be obtained. the scope management plan can be formal or informal broadly framed or highly detailed based on the needs of the project. ,, scope management plan ,",scope management plan,management plan,management plan,management plan,conﬁguration management plan,scope management plan,schedule management plan,schedule management plan,risk management plan,risk management plan,cost management plan,quality management plan,cost management plan,resource management plan,management plan,cost management plan,scope management plan,scope management plan,management plan,management plan,plan,plan,schedule management plan,schedule management plan,schedule management plan,scope,management plan,management plan,management plan,management plan,cost management plan,management plan,management plan,management plan,management plan",",contains,has,describes,describes,deﬁnes,describes,establishes,provides,provides,provides,describes,describes,describes,provides,includes,describes,is,be,is,goes,represents,acknowledges,is,be,establish,forces,specify,goes,goes,goes,is,establish,points,goes,control",",project scope,project requirements,project requirements,project requirements,change control,scope,controlling schedule,processes,approach,processes,methods,activities,project costs,rates personnel,target beneﬁts,project costs,component,needs,component,control process,project,work,component,needs,model development,forces teams,nuevm techniques,control process,control process,control process,component,units,control accounts,control process,projects cost"
150,PLAN SCOPE MANAGEMENT,Has_outputs,the requirements management plan is a component of the project management plan that describes how project and product requirements will be analyzed documented and managed. according to business analysis for practitioners a practice guide some organizations refer to it as a business analysis plan. components of the requirements management plan can include but are not limited to how requirements activities will be planned tracked and reported conﬁguration management activities such as how changes will be initiated how impacts will be analyzed how they will be traced tracked and reported as well as the authorization levels required to approve these changes requirements prioritization process metrics that will be used and the rationale for using them and traceability structure that reﬂects the requirement attributes captured on the traceability matrix. . ,, requirements management plan ,",scope management plan,management plan,requirements,management plan,requirements,management plan,conﬁguration management plan,scope management plan,schedule management plan,schedule management plan,risk management plan,risk management plan,cost management plan,quality management plan,cost management plan,resource management plan,management plan,cost management plan,requirements,requirements,scope management plan,scope management plan,management plan,requirements,requirements,requirements,requirements,requirements,management plan,plan,plan,schedule management plan,schedule management plan,schedule management plan,management plan,management plan,management plan,management plan,cost management plan,management plan,management plan,management plan,management plan",",contains,has,is,describes,determine,describes,deﬁnes,describes,establishes,provides,provides,provides,describes,describes,describes,provides,includes,describes,improve,design,is,be,is,start,be,be,describe,ensure,goes,represents,acknowledges,is,be,establish,specify,goes,goes,goes,is,establish,points,goes,control",",project scope,project requirements,business case,project requirements,change,project requirements,change control,scope,controlling schedule,processes,approach,processes,methods,activities,project costs,rates personnel,target beneﬁts,project costs,software development process,design,component,needs,component,level,stakeholders,classiﬁcations,conditions,requirements documentation,control process,project,work,component,needs,model development,nuevm techniques,control process,control process,control process,component,units,control accounts,control process,projects cost"
